Date,Day,Month,Year,Type,Country,Area,Location,Activity,Sex,Age,Injury,Fatal (Y/N),Species
28-Mar-05,28,Mar,2005,Unprovoked,SOUTH AFRICA,Western Cape Province,Noordhoek,Surfing,M,32,"Lacerations to right calf, puncture wounds on right foot",N,Unknown
19-Mar-05,19,Mar,2005,Unprovoked,AUSTRALIA,Western Australia,"Wreck Point, Abrolhos Islands",Snorkeling,M,26,FATAL,Y,White shark
12-Mar-05,12,Mar,2005,Provoked,USA,New Mexico,"Albuquerue Aquarium, Albuquerue",Diving,M,45,2 punctures on forearm as captive shark collided with diver PROVOKED INCIDENT,N,Tiger shark
26-Feb-05,26,Feb,2005,Unprovoked,AUSTRALIA,Queensland,Brisbane River,Swimming,M,18,Finger bitten,N,Bull shark
4-Feb-05,4,Feb,2005,Unprovoked,BRAZIL,Bahia,Ilh?us,Surfing,M,12,Right thigh & ankle injured,N,Unknown
20-Jan-05,20,Jan,2005,Unprovoked,CUBA,Santiago de Cuba Province,Uvero,Swimming,M,19,Left foot severed,N,Unknown
8-Jan-05,8,Jan,2005,Boating,NEW ZEALAND,North Island,Taupiri Bay,Fishing,M,39,"No injury, kayak bumped repeatedly",N,White shark
11-Dec-04,11,Dec,2004,Unprovoked,AUSTRALIA,Queensland,Opal Reef,Fishing,M,38,"FATAL, leg bitten",Y,Bull shark
27-Nov-04,27,Nov,2004,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London",Surfing,M,20,3 lacerations on foot,N,Raggedtooth shark
26-Nov-04,26,Nov,2004,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Gonubie,Playing in the water,M,16,Lacerations on lower leg & foot,N,Raggedtooth shark
15-Nov-04,15,Nov,2004,Unprovoked,SOUTH AFRICA,Western Cape Province,"Fish Hoek, False Bay",Swimming,F,77,FATAL,Y,White shark
31-Oct-04,31,Oct,2004,Unprovoked,CUBA,Camaguey Province,Santa Lucia,Diving,M,40,Left forearm bitten,N,Bull shark
21-Oct-04,21,Oct,2004,Unprovoked,AUSTRALIA,New South Wales,Stockton Beach,Surfing,M,59,Right foot lacerated,N,Bronze whaler shark
9-Oct-04,9,Oct,2004,Unprovoked,USA,Hawaii,Moloka'i,Fishing,M,34,Left shoulder bitten,N,Tiger shark
9-Oct-04,9,Oct,2004,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Jeffrey?s Bay,Surfing,M,34,Puncture wounds on right foot,N,Raggedtooth shark
6-Oct-04,6,Oct,2004,Unprovoked,REUNION,Conservat?ria District,"P' tit Paris, Saint-Pierre",Paddle and Boogie boarding,M,15,"Leg severely bitten, surgically amputated",N,Tiger shark
2-Oct-04,2,Oct,2004,Unprovoked,USA,California,"Pismo Beach, San Luis Obispo County",Surfing,M,16,"No injury, knocked off surfboard",N,Unknown
1-Oct-04,1,Oct,2004,Unprovoked,USA,California,"Lifeguard Tower 16, Huntington Beach, Orange County",Surfing,M,40,"No injury, shark struck board & spun it around",N,Unknown
20-Sep-04,20,Sep,2004,Unprovoked,USA,Oregon,Gold  Beach,Surfing,M,26,Leg bitten,N,White shark
4-Sep-04,4,Sep,2004,Unprovoked,USA,South Carolina,"North of Apache Pier, Myrtle Beach, Horry County",Playing in the water,F,17,Left knee & leg bitten,N,Unknown
29-Aug-04,29,Aug,2004,Unprovoked,USA,Florida,"New Smyrna Beach / Cape Canaveral  National Seashore, Brevard County",Walking,F,38,Heel bitten,N,Unknown
21-Aug-04,21,Aug,2004,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",Swimming,M,24,Calf bitten & both hands injured,N,Tiger shark
15-Aug-04,15,Aug,2004,Unprovoked,USA,California,"Kibesillah, Mendocino County",Diving,M,50,FATAL,Y,White shark
6-Aug-04,6,Aug,2004,Unprovoked,USA,Florida,"Big Bayou, St. Petersburg, Pinellas County",Swimming,M,47,"Back, buttocks, left hand & left side of face bitten",N,Unknown
3-Aug-04,3,Aug,2004,Unprovoked,AUSTRALIA,New South Wales,Byron Bay,Fishing,M,30,Minor puncture wounds to leg,N,Unknown
31-Jul-04,31,Jul,2004,Unprovoked,USA,Florida,"Cocoa  Beach, Brevard County",Surfing,F,20,Right foot bitten,N,Unknown
28-Jul-04,28,Jul,2004,Unprovoked,USA,North Carolina,"Rodanthe, Dare County",Surfing,F,28,Right calf bitten,N,Unknown
27-Jul-04,27,Jul,2004,Unprovoked,USA,North Carolina,"Carolina Beach, New Hanover County",Swimming,F,13,Right forearm & wrist lacerated,N,Unknown
27-Jul-04,27,Jul,2004,Unprovoked,USA,Texas,Galveston Island,Swimming,F,19,Right foot bitten,N,Unknown
25-Jul-04,25,Jul,2004,Unprovoked,USA,Texas,"Bryan Beach, Brazoria County",Walking,M,11,Right forearm nearly severed and bites above & below the right knee,N,Bull shark
15-Jul-04,15,Jul,2004,Unprovoked,JAPAN,Wakayama Prefecture,Susami,Fishing,M,51,Suffered broken ribs when the shark's tail fin slammed into his chest,N,Mako shark
10-Jul-04,10,Jul,2004,Unprovoked,AUSTRALIA,Western Australia,"Lefthanders Beach, Margaret River",Surfing,M,30,"FATAL, abdomen, pelvis & leg bitten",Y,Unknown
2-Jul-04,2,Jul,2004,Unprovoked,USA,Alabama,"Gulf Shores Beach, Baldwin County",Walking,M,7,Right foot lacerated,N,Unknown
26-Jun-04,26,Jun,2004,Unprovoked,USA,California,"San Onofre State Beach, San Diego County",Surfing,M,45,"No injury, shark struck his board",N,White shark
10-Jun-04,10,Jun,2004,Unprovoked,AUSTRALIA,Western Australia,Bunbury,Paddle and Boogie boarding,M,17,Ankle & foot lacerated,N,Bronze whaler shark
10-Jun-04,10,Jun,2004,Unprovoked,USA,Florida,"Daytona Beach Shores, Volusia County",Swimming,M,8,Right wrist  & left arm lacerated,N,Unknown
2-Jun-04,2,Jun,2004,Unprovoked,SOUTH AFRICA,Western Cape Province,Dyer Island,Swimming,M,21,"FATAL, leg severed",Y,White shark
29-May-04,29,May,2004,Unprovoked,USA,Texas,"Pirate's Beach, Galveston Island",Walking,M,16,Puncture wounds on shin,N,Unknown
23-May-04,23,May,2004,Unprovoked,BRAZIL,Pernambuco,Piedade Beach,Swimming,M,17,"Left hand, foot severed &  left calf & arm bitten",N,Bull shark
28-May-04,28,May,2004,Unprovoked,USA,California,"Salmon Creek, Sonoma County",Surfing,M,44,No injury,N,Unknown
23-May-04,23,May,2004,Unprovoked,USA,Florida,"St. Augustine, St. John's County",Swimming,M,9,Calf & foot lacerated,N,Unknown
22-May-04,22,May,2004,Unprovoked,BRAZIL,Pernambuco,"Piedade Beach, Recife",Walking,F,24,Hips & thighs bitten,N,Unknown
18-May-04,18,May,2004,Provoked,BAHAMAS,Abaco Islands,Green Turtle Cay,Diving,M,63,Left forearm bitten PROVOKED INCIDENT,N,Caribbean reef shark
4-May-04,4,May,2004,Unprovoked,USA,Texas,Channel between South Padre Island & Padre Island National Seashore,Surfing,M,28,"No injury, board bitten",N,Mako shark
1-May-04,1,May,2004,Unprovoked,BRAZIL,Pernambuco,Piedade,Swimming,M,22,FATAL,Y,Unknown
7-Apr-04,7,Apr,2004,Unprovoked,USA,Hawaii,"Kahana Beach, Maui",Surfing,M,57,FATAL Severe wound to right thigh & calf,Y,Tiger shark
5-Apr-04,5,Apr,2004,Unprovoked,SOUTH AFRICA,Western Cape Province,"Surfers' Corner, Muizenberg, False Bay",Surfing,M,16,"Left leg lacerated, right leg severed above the knee",N,White shark
31-Mar-04,31,Mar,2004,Unprovoked,USA,Florida,"Stuart Rocks, Martin County",Surfing,M,20,15 puncture wounds on foot,N,Bull shark
29-Mar-04,29,Mar,2004,Unprovoked,BRAZIL,Pernambuco,Piedade Beach,Paddle and Boogie boarding,M,22,"Lower left leg bitten, surgically amputated",N,Bull shark
27-Mar-04,27,Mar,2004,Unprovoked,REUNION,Saint-Beno?t,Spot de la gare,Surfing,M,20,Right thigh bitten,N,Unknown
27-Mar-04,27,Mar,2004,Unprovoked,USA,Florida,"Sanibel Island, Lee County",Swimming,M,61,Minor lacerations & abrasions on forearm,N,Unknown
16-Mar-04,16,Mar,2004,Unprovoked,USA,Hawaii,"Kalihiwai Beach, Kauai",Surfing,M,51,"No injury, board bitten",N,Tiger shark
6-Mar-04,6,Mar,2004,Unprovoked,AUSTRALIA,Western Australia,5 nm off Cervantes,Fishing,M,47,Shin & calf bitten,N,Bronze whaler shark
29-Feb-04,29,Feb,2004,Unprovoked,BRAZIL,Pernambuco,"Piedade Beach, Recife",Swimming,M,29,"FATAL, right thigh & hip bitten",Y,Unknown
26-Feb-04,26,Feb,2004,Unprovoked,NEW ZEALAND,"South Island, near Karitane north of Dunedin",South Beach,Surfing,M,15,Thigh lacerated,N,Sevengill shark
11-Feb-04,11,Feb,2004,Unprovoked,AUSTRALIA,New South Wales,Caves Beach,Snorkeling,M,22,Leg bitten,N,Unknown
25-Jan-04,25,Jan,2004,Unprovoked,AUSTRALIA,Western Australia,Binningup,Diving,M,46,Left leg bitten,N,White shark
23-Jan-04,23,Jan,2004,Unprovoked,URUGUAY,Rocha,Ensenada de la Coronilla,Surfing,M,21,Puncture wounds to dorsum of right foot,N,Tiger shark
21-Jan-04,21,Jan,2004,Unprovoked,VENEZUELA,Anzoategui,"Santa Cruz Beach, Mochima National Park, 250 km from Caracas",Fishing,M,40,Right leg bitten,N,Bull shark
7-Jan-04,7,Jan,2004,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"West Beach, Port Alfred",Surfing,M,22,Foot lacerated,N,Raggedtooth shark
13-Dec-03,13,Dec,2003,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Swimming,M,13,Foot bitten,N,Unknown
13-Dec-03,13,Dec,2003,Unprovoked,NEW ZEALAND,Cook Islands,Pukapuka Northern Group,Swimming,M,45,FATAL,Y,Unknown
8-Dec-03,8,Dec,2003,Unprovoked,AUSTRALIA,Victoria,Collendina Beach east of Ocean Grove,Surfing,M,36,"No inury, shark caught leash attached to surfer's ankle & towed him a short distance",N,Unknown
27-Nov-03,27,Nov,2003,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Sodwana,Fishing,M,21,"Presumed FATAL, severed hand recovered",Y,Tiger shark
22-Nov-03,22,Nov,2003,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Surfing,F,35,Severe abrasion to left lateral calf,N,Unknown
12-Nov-03,12,Nov,2003,Unprovoked,INDIA,Tamil Nadu,"Mahabalipuram beach, 37 km south of Chennai",Swimming,M,35,Left index finger lacerated,N,Tiger shark
12-Nov-03,12,Nov,2003,Unprovoked,USA,Florida,"South Jetty, New Smyrna Beach, Volusia County",Surfing,M,24,Lacerations to hand,N,Unknown
31-Oct-03,31,Oct,2003,Unprovoked,USA,Florida,"Ponte Vedra Beach, St. Johns County",Surfing,M,18,Left foot (sole) bitten,N,Unknown
31-Oct-03,31,Oct,2003,Unprovoked,AUSTRALIA,New South Wales,"Lighthouse Beach, Seal Rocks",Surfing,M,22,Left ankle & foot lacerated,N,Unknown
31-Oct-03,31,Oct,2003,Unprovoked,USA,Hawaii,"Tunnels surf break off Makua Beach, Kaua'i",Surfing,F,13,Left arm severed below shoulder,N,Tiger shark
27-Oct-03,27,Oct,2003,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,46,Laceration on right ankle & heel,N,Unknown
14-Oct-03,14,Oct,2003,Unprovoked,USA,Florida,Near Patrick Air Force Base Brevard County,Surfing,M,19,Foot bitten,N,Unknown
5-Oct-03,5,Oct,2003,Unprovoked,USA,Florida,"Stuart Park Beach, Martin County",Surfing,M,18,5 to 6 lacerations on right foot & ankle,N,Unknown
5-Oct-03,5,Oct,2003,Provoked,USA,Florida,"South Jetty, New Smyrna Beach, Volusia County",Surfing,M,30,Left ankle bitten when he stepped on the shark PROVOKED INCIDENT,N,Unknown
5-Oct-03,5,Oct,2003,Unprovoked,USA,Hawaii,"Cove Beach / Kalama Beach, Kihei, Maui",Walking,F,41,"Left thigh abraded, right knee and right index finger injured",N,Unknown
29-Sep-03,29,Sep,2003,Unprovoked,FIJI,Taveuni,Welagi coastal reef off Drekeniwai,Walking,M,40,FATAL abdomen bitten,Y,Unknown
28-Sep-03,28,Sep,2003,Unprovoked,USA,Florida,"North Hutchinson Island, St. Lucie Couny",Surfing,M,16,Arm lacerated,N,Unknown
21-Sep-03,21,Sep,2003,Unprovoked,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,21,Left foot bitten,N,Unknown
19-Sep-03,19,Sep,2003,Unprovoked,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,19,Left heel lacerated,N,Unknown
17-Sep-03,17,Sep,2003,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,17,3 puncture wounds on left foot,N,Unknown
14-Sep-03,14,Sep,2003,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,30,Left foot: lacerations on heel and sole,N,Unknown
13-Sep-03,13,Sep,2003,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Paddle and Boogie boarding,M,18,Left calf avulsion,N,Unknown
13-Sep-03,13,Sep,2003,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",Standing,M,15,Ankle lacerated,N,Unknown
12-Sep-03,12,Sep,2003,Unprovoked,SOUTH AFRICA,Western Cape Province,Near the wreck of the Kakapo off Noordhoek Beach,Paddle and Boogie boarding,M,19,"FATAL, left thigh, buttocks, back of spine, abdomen & chest bitten",Y,White shark
19-Aug-03,19,Aug,2003,Unprovoked,USA,California,"Avila Beach, San Luis Obispo County",Swimming,F,50,"FATAL          Hip & upper thigh bitten, femoral artery severed",Y,White shark
26-Jul-03,26,Jul,2003,Unprovoked,AUSTRALIA,Northern Territory,Nhulunbuy,Surfing,M,37,"No injury, flung into water when shark bit rudder of ski",N,Unknown
20-Jul-03,20,Jul,2003,Unprovoked,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,18,Laceration to little finger of  right hand,N,Unknown
15-Jul-03,15,Jul,2003,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Walking,F,15,Heel & sole of left foot,N,Unknown
10-Jul-03,10,Jul,2003,Unprovoked,BAHAMAS,Abaco Islands,Bakers Bay,Fishing,M,58,Right thigh bitten,N,Unknown
5-Jul-03,5,Jul,2003,Provoked,USA,Florida,"Near New Smyrna Jetty, Volusia County",Walking,M,10,3 puncture wounds on right lateral ankle PROVOKED INCIDENT,N,Unknown
5-Jul-03,5,Jul,2003,Unprovoked,USA,Florida,"Canova Beach, Brevard County",Surfing,M,21,Left foot bitten,N,Unknown
4-Jul-03,4,Jul,2003,Unprovoked,BAHAMAS,Abaco Islands,10 miles west of Walker?s Cay,Fishing,M,39,Left calf bitten,N,Bull shark
30-Jun-03,30,Jun,2003,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,17,Right foot & toes lacerated,N,Unknown
26-Jun-03,26,Jun,2003,Unprovoked,USA,Florida,St Augustine Beach. St. Johns County,Surfing,M,15,Ankle lacerated,N,Unknown
24-Jun-03,24,Jun,2003,Unprovoked,USA,Florida,"Cocoa Beach, Brevard County",Standing,F,12,2 lacerations to the thigh,N,Unknown
24-Jun-03,24,Jun,2003,Unprovoked,USA,Hawaii,"Makua Beach, Oahu",Swimming,M,60,Right foot bitten,N,Unknown
22-Jun-03,22,Jun,2003,Unprovoked,USA,Johnston Atoll,NA,Swimming,M,51,Left leg bitten,N,Unknown
19-Jun-03,19,Jun,2003,Unprovoked,USA,North Carolina,"Masonboro Island, New Hanover County",Surfing,M,33,Hand bitten,N,Sand shark
25-May-03,25,May,2003,Unprovoked,USA,Florida,"Coral Cove Park, Jupiter Inlet, Palm Beach County",Surfing,M,18,Left foot lacerated,N,Unknown
14-May-03,14,May,2003,Unprovoked,USA,Florida,"Ponce de Leon Inlet, Volusia County",Walking,M,22,Left foot bitten,N,Unknown
10-May-03,10,May,2003,Unprovoked,USA,Hawaii,Between Magic Sands Beach and Kahaluu Beach on the Kona coast,Swimming,M,20,Right calf & heel bitten,N,Reef shark
7-May-03,7,May,2003,Provoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,34,Multiple bites to foot after jumping off surfboard onto shark PROVOKED INCIDENT,N,Unknown
3-May-03,3,May,2003,Unprovoked,USA,Florida,"Daytona Beach Shores, Volusia County",Walking,F,9,Laceration to right lower leg,N,Unknown
25-Apr-03,25,Apr,2003,Unprovoked,BRAZIL,Rio de Janeiro,"Copacabana Beach, Rio de Janiero",Swimming,M,16,Bitten on finger,N,Unknown
23-Apr-03,23,Apr,2003,Unprovoked,BRAZIL,Pernambuco,"Pau Amarelo Beach, Paulista District (17 km from Recife)",Surfing,M,17,"Hand & foot lacerated,  lower left leg severely bitten, necessitating surgical amputation",N,Bull shark
23-Apr-03,23,Apr,2003,Unprovoked,BRAZIL,Rio de Janeiro,"Copacabana Beach, Rio de Janiero",Swimming,M,7,Right hand lacerated,N,Unknown
21-Apr-03,21,Apr,2003,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Surfing,M,36,Right leg bitten,N,Unknown
21-Apr-03,21,Apr,2003,Unprovoked,USA,Florida,"Shepard Park, Cocoa Beach, Brevard County",Surfing,M,17,Survived,N,Unknown
20-Apr-03,20,Apr,2003,Unprovoked,USA,Florida,"Playalinda Beach, Brevard County",Surfing,M,30,Left foot bitten,N,Unknown
20-Apr-03,20,Apr,2003,Unprovoked,USA,Florida,"Sunglow Pier, Daytona Beach Shores, Volusia County",Surfing,M,23,Small lacerations to foot,N,Unknown
20-Apr-03,20,Apr,2003,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,18,Left ankle bitten or right foot,N,Unknown
19-Apr-03,19,Apr,2003,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Playing in the water,M,11,Left foot bitten,N,Unknown
18-Apr-03,18,Apr,2003,Unprovoked,USA,Florida,"North Beach, Patrick AFB, Brevard County",Surfing,M,12,2 lacerations on left thigh,N,Unknown
15-Apr-03,15,Apr,2003,Unprovoked,USA,Florida,"Cocoa Beach, Brevard County",Swimming,M,20,Left calf lacerated,N,Unknown
11-Apr-03,11,Apr,2003,Unprovoked,VENEZUELA,Nueva Esparta,"El Yaqu, Isla de Margarita",Surfing,M,28,"Right foot bitten, left leg severed",N,Mako shark
4-Apr-03,4,Apr,2003,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,50,Left hand and wrist bitten,N,Unknown
27-Feb-03,27,Feb,2003,Unprovoked,NEW ZEALAND,Southland,East side of Bench Island in the Foveaux Strait,Diving,M,44,Arm lacerated (shark made 3 strikes),N,White shark
15-Feb-03,15,Feb,2003,Unprovoked,AUSTRALIA,South Australia,"Goolwa Beach, Fleurieu Peninsula",Walking,M,37,Ankle lacerated,N,Unknown
15-Feb-03,15,Feb,2003,Unprovoked,USA,Florida,"Jupiter, Palm Beach County",Swimming,M,54,Left hand bitten,N,Unknown
8-Feb-03,8,Feb,2003,Unprovoked,AUSTRALIA,Queensland,Burleigh Lake on the Gold Coast,Swimming,M,84,FATAL,Y,Bull shark
29-Dec-02,29,Dec,2002,Unprovoked,AUSTRALIA,Queensland,Great Barrier Reef  (near Upolu Bay),Snorkeling,F,18,Left arm lacerated,N,Unknown
24-Dec-02,24,Dec,2002,Unprovoked,SOUTH AFRICA,Western Cape Province,Scarborough,Snorkeling,M,25,Forearms lacerated,N,White shark
21-Dec-02,21,Dec,2002,Unprovoked,AUSTRALIA,Queensland,Depth of 40 m on the wreck of the St. Paul off Brisbane,Diving,M,26,Groin bitten,N,Wobbegong shark
16-Dec-02,16,Dec,2002,Unprovoked,AUSTRALIA,Queensland,Miami Lake,Swimming,M,23,FATAL,Y,Bull shark
1-Dec-02,1,Dec,2002,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",Surfing,M,19,FATAL,Y,Unknown
28-Nov-02,28,Nov,2002,Unprovoked,USA,California,"Salmon Creek, Sonoma County",Paddle and Boogie boarding,M,48,Both legs severely lacerated,N,White shark
17-Nov-02,17,Nov,2002,Unprovoked,USA,Hawaii,Ka'anapali,Swimming,F,34,Right shoulder forarm & wrist bitten,N,Unknown
14-Nov-02,14,Nov,2002,Unprovoked,TURKS & CAICOS,Caicos Bank,French Cay,Snorkeling,F,41,"Right upper am, shoulder & back severely  bitten",N,Caribbean reef shark
11-Nov-02,11,Nov,2002,Unprovoked,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,21,1.5-inch laceration,N,Unknown
2-Nov-02,2,Nov,2002,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Paddle and Boogie boarding,M,16,Puncture wounds on right foot,N,Unknown
30-Oct-02,30,Jul,2002,Unprovoked,USA,Hawaii,"Kama'ole Beach Park I, Kihei, Maui",Swimming,F,60,Left foot bitten,N,Unknown
14-Oct-02,14,Oct,2002,Unprovoked,BRAZIL,Pernambuco,"Piedade Beach, Jaboat?o dos Guararapes City, Recife",Swimming,M,36,"FATAL, body not recovered",Y,Tiger shark
11-Oct-02,11,Oct,2002,Unprovoked,USA,Florida,"Opposite main gate at Patrick Air Force Base, Cape Canaveral, Brevard County",Surfing,M,21,Left foot bitten,N,Unknown
5-Oct-02,5,Oct,2002,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,14,Abrasions on right hand & deep laceration on middle finger,N,Unknown
5-Oct-02,5,Oct,2002,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,35,Heel & back of right knee lacerated,N,Unknown
3-Oct-02,3,Oct,2002,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,18,Left hand lacerated and abraded,N,Unknown
30-Sep-02,30,Sep,2002,Unprovoked,USA,Florida,"Ormond Beach, Volusia County",Surfing,M,47,Right hand severely lacerated,N,Unknown
29-Sep-02,29,Sep,2002,Unprovoked,USA,Florida,"Sebastian Inlet, Brevard County",Surfing,M,32,Left hand bitten,N,Unknown
27-Sep-02,27,Sep,2002,Unprovoked,USA,Hawaii,"Kahala, O'ahu",Fishing,M,55,"No injury, surfboard bitten",N,Blacktip shark
21-Sep-02,21,Sep,2002,Unprovoked,USA,Oregon,Cape Kiwanda,Paddle and Boogie boarding,M,24,Ankle lacerated,N,Unknown
21-Sep-02,21,Sep,2002,Unprovoked,USA,California,"Moonstone Beach, Humboldt County",Surfing,M,35,No injury,N,Unknown
16-Sep-02,16,Sep,2002,Unprovoked,BRAZIL,Pernambuco,"Piedade Beach, Jaboat?o dos Guararapes City",Swimming,M,19,"Left thigh bitten, leg surgically amputated",N,Tiger shark
13-Sep-02,13,Sep,2002,Unprovoked,SOUTH AFRICA,Western Cape Province,"Glencairn, False Bay",Surfing,M,47,No injury,N,White shark
9-Sep-02,9,Sep,2002,Unprovoked,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Paddle and Boogie boarding,M,20,Bitten above & below right knee,N,Unknown
5-Sep-02,5,Sep,2002,Provoked,USA,Florida,"Daytona Beach Shores, Volusia County",Walking,M,36,2 small puncture wounds on left foot PROVOKED INCIDENT,N,Unknown
28-Aug-02,28,Aug,2002,Unprovoked,USA,Hawaii,"Kewalo Basin Channel, O'ahu",Surfing,M,16,Left foot lacerated,N,Tiger shark
17-Aug-02,17,Aug,2002,Unprovoked,USA,Alabama,"Gulf of Mexico, 65 miles offshore from Mobile",Swimming,F,29,Both arms & leg bitten,N,Unknown
14-Aug-02,14,Aug,2002,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,27,Big toe bitten,N,Unknown
11-Aug-02,11,Aug,2002,Unprovoked,USA,Florida,"Vero Beach, Indian River County",Surfing,M,15,Lacerations on heel & dorsum of right foot,N,Grey nurse shark
7-Aug-02,7,Aug,2002,Unprovoked,USA,Florida,"Ponce De Leon Inlet, Volusia County",Standing,M,15,Ankle & leg lacerated,N,Unknown
6-Aug-02,6,Aug,2002,Provoked,UNITED KINGDOM,Cheshire,"Blue Planet Aquarium, Ellesmere Port",Diving,M,30,Hand bitten by captive shark PROVOKED INCIDENT,N,Tiger shark
5-Aug-02,5,Aug,2002,Unprovoked,USA,North Carolina,"Topsail Beach, Pender County",Standing,M,14,Leg lacerated,N,Unknown
26-Jul-02,26,Jul,2002,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",Surfing,M,13,Heel bitten,N,Unknown
20-Jul-02,20,Jul,2002,Unprovoked,USA,North Carolina,"Emerald Isle, Carteret County",Swimming,F,15,Calf bitten,N,Bull shark
10-Jul-02,10,Jul,2002,Provoked,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,19,2 small lacerations on left lower leg when he jumped off board and landed on the shark PROVOKED INCIDENT,N,Unknown
9-Jul-02,9,Jul,2002,Provoked,USA,Maryland,"100 miles off Ocean City, Maryland, in 7000' of water",Fishing,M,41,Drowned when caught in line and pulled overboard by hooked shark PROVOKED INCIDENT,Y,Mako shark
10-Jul-02,10,Jul,2002,Unprovoked,BRAZIL,Pernambuco,"Piedade Beach, Recife",Surfing,M,22,Right hand severed,N,Tiger shark
4-Jul-02,4,Jul,2002,Unprovoked,USA,North Carolina,"Wrightsville Beach, New Hanover County",Standing,F,9,"Calf, foot & hand bitten",N,Bull shark
20-Jun-02,20,Jun,2002,Unprovoked,AUSTRALIA,Queensland,Sunshine Beach,Surfing,M,30,minor injury to foot,N,Unknown
20-Jun-02,20,Jun,2002,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Swimming,F,11,Small lacerations on right lower leg,N,Unknown
10-Jun-02,10,Jun,2002,Unprovoked,USA,Florida,"St Augustine Beach, St Johns County",Surfing,M,28,Right hand lacerated,N,Unknown
9-Jun-02,9,Jun,2002,Unprovoked,USA,Florida,"South of Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,50,6-inch gash on right foot,N,Unknown
9-Jun-02,9,Jun,2002,Unprovoked,USA,Florida,"Jensen Beach, Martin County",Swimming,M,10,Right calf lacerated,N,Unknown
3-Jun-02,3,Jun,2002,Unprovoked,SOUTH AFRICA,KwaZulu-Natal between Port Edward and Port St Johns,Off Mkhambati,Playing in the water,M,50,Upper arm bitten,N,Unknown
31-May-02,31,May,2002,Unprovoked,USA,California,"Stinson Beach, Marin County",Surfing,M,24,Lacerated leg & back,N,White shark
31-May-02,31,May,2002,Unprovoked,USA,Florida,"St. George Island (near Apachicola), Franklin County",Floating,M,16,Lacerated foot,N,Unknown
22-May-02,22,May,2002,Provoked,USA,Florida,"a pier at the end of Caxambas Drive, Marco Island",Fishing,M,55,Leg bitten by hooked shark PROVOKED INCIDENT,N,Blacktip shark
22-May-02,22,May,2002,Unprovoked,USA,Florida,"Atlantic Avenue, Palm Beach County",Playing in the water,M,35,"2-inch wound on dorsum of right foot, 1-inch wound on sole",N,Unknown
13-May-02,13,May,2002,Unprovoked,USA,Florida,"Ten Thousand Islands National Wildlife Refuge, Collier County",Fishing,M,31,Laceration to arm.,N,Unknown
10-May-02,10,May,2002,Unprovoked,BRAZIL,Pernambuco,"Pina, Recife",Surfing,M,40,Leg injured,N,Unknown
7-May-02,7,May,2002,Provoked,AUSTRALIA,Northern Territory,Darwin,Fishing,M,20,Netted shark injured his am & 6 fingers PROVOKED INCIDENT,N,Unknown
30-Apr-02,30,Apr,2002,Unprovoked,AUSTRALIA,South Australia,"Smoky Bay, near Ceduna, on the Eyre Peninsula",Diving,M,23,"FATAL, torso & leg bitten",Y,White shark
20-Apr-02,20,Apr,2002,Unprovoked,USA,Florida,"St. Augustine Beach, St. Johns County",Surfing,M,34,Left foot bitten,N,Unknown
